Stock Title,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 Week Range,Volume
"Amazon.com, Inc. (AMZN)",228.68 ,230.37 ,229.22 ,228.63 x 200,235.81 x 200,227.23 - 229.79 ,151.61 - 242.52 ,"26,365,555 ","35,559,095 "
Alphabet Inc. (GOOGL),185.23 ,186.14 ,185.05 ,184.00 x 100,194.41 x 100,184.32 - 186.40 ,130.67 - 207.05 ,"20,390,327 ","28,716,875 "
Microsoft Corporation (MSFT),408.43 ,410.54 ,407.65 ,407.82 x 300,427.97 x 100,405.90 - 408.83 ,385.58 - 468.35 ,"21,799,548 ","21,704,296 "
